mode,episode,episode_reward,max_height,unique_platforms,steps_survived,moving_avg_reward,moving_avg_max_height,epsilon,loss,terminal_reason
train,2673,269.11,0.0,11,3600,1351.7739,0.0,0.089527,0.490979,timeout
train,2674,235.28,0.0,10,3600,1324.0931,0.0,0.089079,0.473972,timeout
train,2675,1992.27,0.0,30,3600,1329.1281,0.0,0.088631,0.469349,timeout
eval,2675,-17.6,0.0,0.6,3600.0,,,0.088631,,evaluation
train,2676,134.57,0.0,8,3600,1244.6291,0.0,0.088184,0.476632,timeout
train,2677,525.06,0.0,15,3600,1207.2771,0.0,0.087736,0.476931,timeout
train,2678,895.2,0.0,20,3600,1106.1571,0.0,0.087288,0.455036,timeout
train,2679,748.47,0.0,18,3600,1120.2043,0.0,0.08684,0.48086,timeout
train,2680,1740.84,0.0,28,3600,1155.4669,0.0,0.086393,0.472293,timeout
train,2681,147.69,0.0,8,3600,1039.3573,0.0,0.085945,0.473785,timeout
train,2682,752.0,0.0,18,3600,1052.9075,0.0,0.085497,0.472804,timeout
train,2683,753.17,0.0,18,3600,1068.8285,0.0,0.085049,0.443668,timeout
train,2684,918.41,0.0,20,3600,1084.9555,0.0,0.084602,0.448742,timeout
train,2685,180.7,0.0,9,3600,1076.7555,0.0,0.084154,0.440691,timeout
train,2686,8.8,0.0,3,3600,1017.3007,0.0,0.083706,0.423981,timeout
train,2687,-127.55,0.0,0,3600,910.9577,0.0,0.083258,0.438617,timeout
train,2688,2843.66,0.0,36,3600,968.9793,0.0,0.082811,0.445638,timeout
train,2689,2257.29,0.0,32,3600,1015.3193,0.0,0.082363,0.433984,timeout
train,2690,1395.88,0.0,25,3600,959.6803,0.0,0.081915,0.431558,timeout
train,2691,75.97,0.0,6,3600,950.7275,0.0,0.081467,0.456851,timeout
train,2692,4366.8,0.0,45,3600,950.7899,0.0,0.08102,0.439733,timeout
train,2693,462.87,0.0,14,3600,945.1107,0.0,0.080572,0.448331,timeout
train,2694,1874.22,0.0,29,3600,958.6685,0.0,0.080124,0.44846,timeout
train,2695,2839.54,0.0,36,3600,997.2875,0.0,0.079676,0.436929,timeout
train,2696,911.54,0.0,20,3600,1014.6863,0.0,0.079229,0.448627,timeout
train,2697,2522.54,0.0,33,3600,1005.3803,0.0,0.078781,0.450745,timeout
train,2698,2995.37,0.0,37,3600,981.8991,0.0,0.078333,0.438117,timeout
train,2699,321.09,0.0,11,3600,981.6201,0.0,0.077885,0.447458,timeout
train,2700,2391.04,0.0,33,3600,1005.5957,0.0,0.077438,0.431529,timeout
eval,2700,-25.124,0.0,0.0,3600.0,,,0.077438,,evaluation
train,2701,-69.61,0.0,0,3600,992.3807,0.0,0.07699,0.420001,timeout
train,2702,2984.76,0.0,37,3600,1047.4801,0.0,0.076542,0.432551,timeout
train,2703,29.64,0.0,4,3600,929.0112,0.0,0.076094,0.450189,timeout
train,2704,467.55,0.0,14,3600,912.3856,0.0,0.075647,0.402752,timeout
train,2705,69.96,0.0,6,3600,857.4066,0.0,0.075199,0.423084,timeout
train,2706,48.12,0.0,5,3600,850.4962,0.0,0.074751,0.378666,timeout
